	ID SoloTodo	Categoría	ID Categoría	Subcategoría	Ordenamiento Principal	Ordenamiento Categoría	Modelo	Título personalizado	Descripción personalizada	Ficha personalizada 1	Ficha personalizada 2	Ficha personalizada 3	Foto Principal	Fotos Secundarias	URL LG	MPN Flixmedia
70UJ6580	40857	Televisores	11	UHD 4K			70UJ6580	SMART TV LED 70" 4K UHD		Tecnología UHD	Generación 2017	Incluye Magic Remote	https://drive.google.com/open?id=1GYxx-t7KSRih7YqpBhn4MWFsltDy0V8a	https://drive.google.com/open?id=1MI3DKADGivE_8zFP-8lV4lYFg5TPFESK	https://www.lg.com/cl/televisores/lg-70UJ6580	70UJ6580
75UJ6580	36537	Televisores	11	UHD 4K		44	75UJ6580	SMART TV LED 75" 4K UHD	75 pulgadas, Ultra HD 4K, amplio ángulo de visión, HDR activo,Ultra Surround, sistema operativo webOS 3.5, incluye Magic Remote. Instalación gratuita	Tecnología UHD	Generación 2017	Incluye Magic Remote	https://drive.google.com/open?id=1GYxx-t7KSRih7YqpBhn4MWFsltDy0V8a	https://drive.google.com/open?id=1MI3DKADGivE_8zFP-8lV4lYFg5TPFESK	https://www.lg.com/cl/televisores/lg-75UJ6580	75UJ6580
49UJ7500	34826	Televisores	11	UHD 4K		45	49UJ7500	SMART TV LED 49" 4K UHD		Tecnología UHD	Generación 2017		https://drive.google.com/open?id=1G0mqph3YJI4oLXjoV9uWg6jTsC3o_kAm	https://drive.google.com/open?id=1Kg3XwItmIrsE2Qqa5mlHIUESnLbMoyBT	https://www.lg.com/cl/televisores/lg-49UJ7500	49UJ7500
OLED55B7P	36711	Televisores	11	OLED 4K		46	OLED55B7	SMART TV OLED 55" 		Tecnología OLED	Generación 2017	Incluye Magic Remote	https://drive.google.com/open?id=1w_IGauP0VkYCAntJZxPHqWreF_yeusFr	https://drive.google.com/open?id=1wFa-kZgxzfhlWRWhAgbqR_qBHTPPAJ1p	https://www.lg.com/cl/televisores/lg-OLED55B7P	OLED55B7P
OLED65B7P	35170	Televisores	11	OLED 4K		47	OLED65B7P	SMART TV OLED 65"		Tecnología OLED	Generación 2017	Incluye Magic Remote	https://drive.google.com/open?id=1w_IGauP0VkYCAntJZxPHqWreF_yeusFr	https://drive.google.com/open?id=1wFa-kZgxzfhlWRWhAgbqR_qBHTPPAJ1p	https://www.lg.com/cl/televisores/lg-OLED65B7P	OLED65B7P
OLED65E7P	35171	Televisores	11	OLED 4K		48	OLED65E7P	SMART TV OLED 65"		Tecnología OLED	Generación 2017	Incluye Magic Remote	https://drive.google.com/open?id=1jhKDvJdawUfedX4w8SMISTjlez_BcMZ6	https://drive.google.com/open?id=1vh3ydaMmFt5XREohoYqXXOJQ3tjBJoX_	https://www.lg.com/cl/televisores/lg-OLED65E7P	OLED65E7P
43LJ5500	35811	Televisores	11	Full HD		49	43LJ5500	SMART TV LED 43" FHD	43 pulgadas, Full HD, aumento de resolución LG, Virtual Surround Plus que mejora la direccionalidad de sonido, puerto USB y HDMI	Tecnología Full HD	Generación 2017		https://drive.google.com/open?id=1z0XulXWLUZExgB7ub4HX6p_dwDLdTm63	https://drive.google.com/open?id=1Ouprq2Uq_L09OsXbLRZOKMyGBap7D404	https://www.lg.com/cl/televisores/lg-43LJ5500	43LJ5500
49LJ5500	35812	Televisores	11	Full HD		50	49LJ5500	SMART TV LED 49" FHD		Tecnología Full HD	Generación 2017		https://drive.google.com/open?id=1z0XulXWLUZExgB7ub4HX6p_dwDLdTm63	https://drive.google.com/open?id=1Ouprq2Uq_L09OsXbLRZOKMyGBap7D404	https://www.lg.com/cl/televisores/lg-49LJ5500	49LJ5500
32LJ550B	36391	Televisores	11	HD		51	32LJ550B	SMART TV LED 32" FHD		Tecnología HD	Generación 2017		https://drive.google.com/open?id=1BFTQn32tW_3_v7cNNy3boQ934ZySfIul	https://drive.google.com/open?id=1nVl-hRzDXGhGj8NWb5pO-AT8jsx68Ihw	https://www.lg.com/cl/televisores/lg-32LJ550B	32LJ550B
75UH6550	27761	Televisores	11	UHD 4K		52	75UH6550	SMART TV LED 75" 4K UHD		Tecnología UHD	Generación 2016				https://www.lg.com/cl/televisores/lg-75UH6550	75UH6550
86UH9550	26685	Televisores	11	UHD 4K		53	86UH9550	SMART TV LED 86" 4K UHD		Tecnología UHD	Generación 2016				https://www.lg.com/cl/televisores/lg-86UH9550	86UH9550
24MT48DF-PS	25344	Televisores	11	Monitor TV		54	24MT48DF	MONITOR TV 24"		Tecnología HD	Generación 2016		https://drive.google.com/open?id=1uN2-bIZJ2Ry3OTC4ctHIcva4HwWL1A0V	https://drive.google.com/open?id=1MXieGX1mckiSwrjreWJPuvEhgCTFBAIn	https://www.lg.com/cl/monitores/lg-24MT48DF-PS	24MT48DF-PS
24MT49S-PS	40859	Televisores	11	Monitor TV		55	24MT49S	MONITOR TV 24" IPS HD		Tecnología HD	Generación 2016		https://drive.google.com/open?id=1kbslV3GuG_JnKRzZVqQ5dkB3_mdq3pio	https://drive.google.com/open?id=1MUVX3G1Cd-sXSLksH6fVhjYogZkUU1Tz	https://www.lg.com/cl/monitores/lg-24MT49S-PS	24MT49S-PS
24MT48AF-PM	25884	Televisores	11	Monitor TV		56	24MT48AF-PM	MONITOR TV 24"		Tecnología HD	Generación 2016				https://www.lg.com/cl/monitores/lg-24MT48AF-PM	24MT48AF-PM
24MT47D	20031	Televisores	11	Monitor TV											https://www.lg.com/cl/monitores/lg-24MT47D	
24MT49DS	40698	Televisores	11	Monitor TV												
32LK610B	58397	Televisores	11	HD											https://www.lg.com/cl/televisores/lg-32LK610BPSA	
32LM630BPSB	62380	Televisores	11	HD											https://www.lg.com/cl/televisores/lg-32LM630BPSB	
50UM7300PSA	61976	Televisores	11	UHD 4K											https://www.lg.com/cl/televisores/lg-50UM7300PSA	
50UM7500PSB	61977	Televisores	11	UHD 4K											https://www.lg.com/cl/televisores/lg-50UM7500PSB	
55SM8100PSA	61978	Televisores	11	NANOCELL 4K											https://www.lg.com/cl/televisores/lg-55SM8100PSA	
55SM8600PSA	61979	Televisores	11	NANOCELL 4K											https://www.lg.com/cl/televisores/lg-55SM8600PSA	
55UM7650	61980	Televisores	11	UHD 4K											https://www.lg.com/cl/televisores/lg-55UM7650PSB	
55UM7650PSB	62531	Televisores	11	UHD 4K											https://www.lg.com/cl/televisores/lg-55UM7650PSB	
60UK6200	58399	Televisores	11	UHD 4K											https://www.lg.com/cl/televisores/lg-60UK6200PSA	
65SM8100PSA	61981	Televisores	11	NANOCELL 4K											https://www.lg.com/cl/televisores/lg-65SM8100PSA	
86UK6570	61231	Televisores	11	UHD 4K											https://www.lg.com/cl/televisores/lg-86UK6570PSA	
OLED65B9PSB	61985	Televisores	11	OLED 4K											https://www.lg.com/cl/televisores/lg-OLED65B9PSB	
OLED77C9PSB	61986	Televisores	11	OLED 4K											https://www.lg.com/cl/televisores/lg-OLED77C9PSB	
